,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
52,"double take",dhruv,20513,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
53,247,LUSS,19114,https://open.spotify.com/track/7AQFhodzN09DtXGiIDtFrd
54,ฝนตกไหม,"Three Man Down",18746,https://open.spotify.com/track/2pB3TJsSleiRiL0NP6rtCw
55,Melbourne,Morvasu,18632,https://open.spotify.com/track/0nYZ6GR0fCPmxqjPOaPGjJ
56,"คนแบบไหน - เพลงประกอบซีรีส์ ปลาบนฟ้า","มิกซ์ สหภาพ",18301,https://open.spotify.com/track/44ymejne8Roi7uT4lhiwCR
57,"แปลไม่ออก - Ost. แปลรักฉันด้วยใจเธอ",Billkin,17934,https://open.spotify.com/track/3ADD6eZhJPHrRKAQ2MWBD5
58,"อยากเริ่มต้นใหม่กับคนเดิม (repeat)","Ink Waruntorn",17656,https://open.spotify.com/track/1E0waZD9GmD0SkbEhk19J4
59,"Sad Movie",F.HERO,17436,https://open.spotify.com/track/1nenRWbemVvsxnxg296eFB
60,"ลบไม่ได้ช่วยให้ลืม (Erase)","Ink Waruntorn",17165,https://open.spotify.com/track/5AMYykC6sdveY7NfwHNUm4
61,"กีดกัน (Skyline) - Ost. แปลรักฉันด้วยใจเธอ",Billkin,17090,https://open.spotify.com/track/4D6f8Y7qiOvmFbm3TIab22
62,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",15824,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
63,"พี่ๆ ตัดแว่นให้หน่อย","SERIOUS BACON",15820,https://open.spotify.com/track/0MejzQMW0yfpwfZwIjNaAH
64,"WHAT WOULD YOU DO? (feat. Pink Sweat$)",HONNE,15663,https://open.spotify.com/track/63CGV6P4cEYZvUgvVhZWAl
65,แฟนใหม่หน้าคุ้น,Maiyarap,15653,https://open.spotify.com/track/29E8BUUDQbc5S7jMPOj9wW
66,คำตอบ,Safeplanet,15350,https://open.spotify.com/track/1lD1Pjy7rNDOny7nFqmUHJ
67,"จำเก่ง (Slipped Your Mind)",F.HERO,15195,https://open.spotify.com/track/1iK2nyld8wTLJv2dRIowSY
68,"Solar Power",Lorde,14983,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
69,"drivers license","Olivia Rodrigo",14670,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
70,"Life Goes On",BTS,14364,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
71,เก็บไว้ในใจไม่พอ,Maiyarap,14009,https://open.spotify.com/track/0hdVaCnCS5d5puPAN2tQ25
72,กอดได้ไหม,UrboyTJ,13692,https://open.spotify.com/track/4hccrJgNG1BwPa3CWw4NNg
73,happier,"Olivia Rodrigo",13416,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
74,"เดี๋ยวเธอกับเขาก็คืนดีกัน Feat. 3rd Tilly Birds",Copter,13164,https://open.spotify.com/track/7JC59jSvjSbJ2MszeV6fBs
